encourage you	encorajá-lo
How often	Com que frequência
quiet time	hora silenciosa
>time alone with God praying, reading His Word, and applying its truth to one’s life	tempo a sós com Deus orando, lendo a Palavra e aplicando sua verdade à própria vida
small group	pequeno grupo
habit	hábito
Gospel Conversations	conversas evangelísticas
sharing the Gospel with someone who is not a Christian	compartilhar o evangelho com alguém que não seja cristão
discipleship	discipulado
spiritual growth	crescimento espiritual
accountability partner	parceiro de prestação de contas
accountability	prestação de contas
Sticky Statement:	Frase Marcante:
Lesson Objective:	Objetivo do Estudo:
Scope and Sequence:	Panorama Curricular:
Hook	Captação
Satan	Satanás
enemy	inimigo
lust	lascívia
worldview	cosmovisão
important	importante
Key Verse:	Versículo-chave:
Teacher's Note:	Anotação para o líder:
without blame	irrepreensível
discouragement	desânimo
Poster Boards	papel-cartão
three	três
Humanism	Humanismo
Materialism	Materialismo
God’s grace	graça de Deus
puzzle	quebra-cabeça
Jesus can reconcile you because He died for you!	Jesus reconcilia porque morreu por você.
Citizenship	Cidadania
mystery	mistério
community	comunidade
revealing	revelação
believer	crente
partaker	coparticipante
three	três
macroevolution	macroevolução
microevolution	microevolução
Darwinian evolution	evolução darwiniana
irreducible complexity	complexidade irredutível
Next Steps	Próximos Passos
obedience	obediência
Jesus	Jesus
importance	importância
prayer	oração
God’s will	vontade de Deus
workout plan	plano de exercícios
Moses	Moisés
Word of Life	Palavra da Vida
Word of God	Palavra de Deus
authority	autoridade
self-discipline	autodisciplina
self-control	domínio próprio
temptation	tentação
“Training Days”	“Dias de Treinamento”
[Allow for a response.]	[Deixe alguém responder.]
Prayer	Oração
Supplication	Súplica
Thanksgiving	Ação de graças
bodyguard	guarda-costas
panic	pânico
peace is possible	a paz é possível
By the way,	A propósito,
John the Baptist	João Batista
apple	maçã
plastic knife	faca de plástico
we have been given a story to tell	recebemos uma história para contar
Essentially	Em essência,
tell others about Jesus	falar de Jesus às pessoas
religious leaders	líderes religiosos
generosity	generosidade
Cause Circle	Círculo da Causa
Prayer, Care, Share	Orar, Cuidar, Compartilhar
Possible answers:	Algumas respostas podem ser:
to God about people, before you talk to people about God	das pessoas a Deus antes de falar dele a elas
masking tape	fita crepe
if possible	se possível
Consider reading this passage in a paraphrased edition of the Bible.	Talvez você queira que essa passagem seja lida numa versão mais parafraseada da Bíblia.
individuals	indivíduos
stop watch	cronômetro
Optional Illustration	Ilustração Opcional
all of us can be generous	todos nós podemos ser generosos
any action or attitude that expresses praise, love, and appreciation for God	qualquer ação ou atitude que expresse louvor, amor e apreço a Deus
guest of honor	convidado de honra
