Definitions	Definições
brokenness	estado quebrado
Eph.	Ef
Heb.	Hb
disciples	discípulos
Matt.	Mt
Great Commission	Grande Comissão
resurrection	ressurreição
death	morte
Holy Spirit	Espírito Santo
follow-up	continuidade
circumstances	circunstâncias
Israel	Israel
gospels	evangelhos
gospel	evangelho
Bible	Bíblia
Jerusalem	Jerusalém
Scriptures	Escrituras
Thus	Dessa forma
In other words	Em outras palavras
Spirit	Espírito
ministry	ministério
Word of God	Palavra de Deus
ability	capacidade
body of Christ	corpo de Cristo
spiritual gift	dom espiritual
By the way	A propósito
spiritual gifts	dons espirituais
natural talents	talentos naturais
acquired abilities	habilidades adquiridas
motivation	motivação
South America	América do Sul
heart	coração
disobedience	desobediência
Christ	Cristo
Corinto	Corinto
Corinth	Corinto
martyr	mártir
On the contrary	Do contrário
fear of the Lord	temor do Senhor
Solomon	Salomão
passion	paixão
Word of Life	Palavra da Vida
responsible	responsável
international	internacional
you	você
understanding	entendimento
operational system	sistema operacional
specific	específico
pilgrimage	peregrinação
Hungary	Hungria
brothers and sisters	irmãos e irmãs
By the way,	A propósito,
authentic	autêntico
philosophy	filosofia
apologetics	apologética
blessing	bênção
dispensation	dispensação
Kindle Edition	Edição Kindle
hopelessness	desalento

