Dinosaurs	Dinossauros
bloodshed	derramamento de sangue
paleontologist	paleontologista
geology	geologia
reptiles	répteis
reptile	réptil
dragon	dragão
Flood	Dilúvio
Bible commentaries	comentários bíblicos
Adam	Adão
Shadrach, Meshach, and Abednego	Sadraque, Mesaque e Abede-Nego
Adam and Eve	Adão e Eva
Noah	Noé
information	informação
University	Universidade
platypus	ornitorrinco
abortion	aborto
family breakdown	desestruturação da família
racism	racismo
promiscuity	promiscuidade
dishonesty	desonestidade
euthanasia	eutanásia
suicide	suicídio
lawlessness	desrespeito à lei
mammal	mamífero
development	desenvolvimento
theropod	terópode
millions	milhões
pre-Flood	pré-diluviano
post-Flood	pós-diluviano
mechanical engineering	engenharia mecânica
sauropod	saurópode
iridium	irídio
